Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
sample_1,Chrome 106.0.5249.103,,,2022-10-12 14:06:50,2022-10-12 14:07:06,16.235s,ERROR
,,,,,,,
Test Cases/RCA_sample,Chrome 106.0.5249.103,,,2022-10-12 14:07:01,2022-10-12 14:07:02,1.680s,ERROR
Start setup action : setupTestCase,Chrome 106.0.5249.103,,,2022-10-12 14:07:01,2022-10-12 14:07:01,0.499s,PASSED
"openBrowser("""")",Chrome 106.0.5249.103,,,2022-10-12 14:07:01,2022-10-12 14:07:02,0.878s,PASSED
"sendKeys(""randome keyword"", ""empty something"")",Chrome 106.0.5249.103,,,2022-10-12 14:07:02,2022-10-12 14:07:02,0.018s,ERROR
Start tear down : tearDownTestCase,Chrome 106.0.5249.103,,,2022-10-12 14:07:02,2022-10-12 14:07:02,0.255s,PASSED
,,,,,,,
Test Cases/RCA_sample_2,Chrome 106.0.5249.103,,,2022-10-12 14:07:05,2022-10-12 14:07:06,0.775s,FAILED
Start setup action : setupTestCase,Chrome 106.0.5249.103,,,2022-10-12 14:07:05,2022-10-12 14:07:06,0.562s,PASSED
"verifyEqual(10, 2)",Chrome 106.0.5249.103,,,2022-10-12 14:07:06,2022-10-12 14:07:06,0.005s,FAILED
Start tear down : tearDownTestCase,Chrome 106.0.5249.103,,,2022-10-12 14:07:06,2022-10-12 14:07:06,0.200s,PASSED
